"year","fips","pop2020","pop2024","state","stateCode","growthSince2020","name","county","slug","landArea","density","rank","densityMi","areaMi"
2024,6015,27604,26066,"California","CA",-0.055716562816983006,"Del Norte County","Del Norte County","california/del-norte-county",1006,25.910536779324055,49,25.910536779324055,1006
2024,6011,21864,22165,"California","CA",0.013766922795462877,"Colusa County","Colusa County","california/colusa-county",1151,19.25716768027802,50,19.25716768027802,1151
2024,6063,19746,18819,"California","CA",-0.04694621695533274,"Plumas County","Plumas County","california/plumas-county",2553,7.371327849588719,51,7.371327849588719,2553
2024,6027,18987,18312,"California","CA",-0.03555063991151841,"Inyo County","Inyo County","california/inyo-county",10197,1.7958223006766696,52,1.7958223006766696,10197
2024,6043,17119,16785,"California","CA",-0.01951048542555056,"Mariposa County","Mariposa County","california/mariposa-county",1449,11.583850931677018,53,11.583850931677018,1449
2024,6105,16091,15562,"California","CA",-0.03287552047728548,"Trinity County","Trinity County","california/trinity-county",3179,4.895250078641082,54,4.895250078641082,3179
2024,6051,13228,13130,"California","CA",-0.007408527366192907,"Mono County","Mono County","california/mono-county",3049,4.306329944244014,55,4.306329944244014,3049
2024,6049,8681,8381,"California","CA",-0.03455823061859231,"Modoc County","Modoc County","california/modoc-county",3948,2.1228470111448834,56,2.1228470111448834,3948
2024,6091,3225,3178,"California","CA",-0.014573643410852766,"Sierra County","Sierra County","california/sierra-county",953,3.334732423924449,57,3.334732423924449,953
2024,6003,1205,1092,"California","CA",-0.0937759336099585,"Alpine County","Alpine County","california/alpine-county",738,1.4796747967479675,58,1.4796747967479675,738
